ID;WAARDELIJSTID;CODE;WAARDE;VANAF;TOT;TOELICHTING
1;1;1;Beklemrecht;2011-01-01;;
2;1;2;Eigendom (recht van);2011-01-01;;
3;1;3;Erfpacht (recht van);2011-01-01;;
4;1;4;Gebruik en bewoning (recht van);2011-01-01;;
5;1;5;Grondrente (recht van);2011-01-01;;
6;1;6;Huurrecht (zakelijk);2011-01-01;;* alleen voor luchtvaartuigen
7;1;7;Opstal (recht van);2011-01-01;;
8;1;8;Optierecht (zakelijk);2011-01-01;;* alleen voor luchtvaartuigen
9;1;9;Oud-vaderlandsrecht;2011-01-01;;
10;1;10;Zakelijk recht als bedoeld in artikel 5,lid 3,onder b,van de Belemmeringenwet Privaatrecht;2011-01-01;2018-09-01;
11;1;11;Stadsmeierrecht;2011-01-01;;
12;1;12;Vruchtgebruik (recht van);2011-01-01;;
13;1;13;Erfpacht en Opstal (recht van);2011-01-01;;
14;1;14;Opstalrecht Nutsvoorzieningen;2011-01-01;;
15;1;15;Eigendom Telecommunicatienetwerk;2011-01-01;2012-01-01;Wordt niet meer geregistreerd en is geschoond in AKR
16;1;16;Erfpachtrecht Telecommunicatienetwerk;2011-01-01;2012-01-01;Wordt niet meer geregistreerd en is geschoond in AKR
17;1;17;Vruchtgebruik Telecommunicatienetwerk;2011-01-01;2012-01-01;Wordt niet meer geregistreerd en is geschoond in AKR
18;1;18;Raadpleeg brondocument;2011-01-01;;
19;1;19;Voorrecht;2011-01-01;;* alleen voor schepen
20;1;20;Zakelijk recht na twee of meer zakelijke belastingen;2011-01-01;2018-09-01;
21;1;21;Zakelijke belasting derde of volgende;2011-01-01;2018-09-01;
22;1;22;BP-recht;2011-01-01;2017-08-01;
23;1;23;Opstalrecht Nutsvoorzieningen op gedeelte van perceel;2016-03-09;;
24;1;24;Zakelijk recht als bedoeld in artikel 5,lid 3,onder b,van de Belemmeringenwet Privaatrecht op gedeelte van perceel;2016-07-01;2018-09-01;
25;2;1;Verblijfsobject;2009-07-01;;
